Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2011-05-02	616.0	619.0	607.05	614.65	2062700	540.3858	-0.00300085440865
2011-05-03	612.6	614.8	600.0	603.25	2407500	530.3632	-0.0185471194839
2011-05-04	601.15	603.95	588.2	589.75	3839000	518.4943	-0.0223788151214
2011-05-05	590.0	594.35	581.0	583.05	2414300	512.6038	-0.0113607806296
2011-05-06	584.7	596.5	583.0	594.5	2472300	522.6704	0.0196381688938
2011-05-09	598.0	600.8	590.1	595.1	1943300	523.1979	0.00100924024012
2011-05-10	594.0	596.7	583.0	588.4	2785300	517.3074	-0.011258646107
2011-05-11	590.0	597.4	588.5	594.2	2008700	522.4067	0.0098573884696
2011-05-12	592.0	592.95	583.1	584.7	2498400	514.0545	-0.015987926648
2011-05-13	586.1	602.0	584.8	594.0	2509600	522.2308	0.0159055119642
2011-05-16	593.0	593.0	576.4	577.8	2748200	507.9881	-0.0272728073488
2011-05-17	580.2	585.0	566.7	573.95	3323700	504.6033	-0.00666314821154
2011-05-18	576.0	578.9	566.25	571.7	2530800	502.6252	-0.00392010912334
2011-05-19	569.05	574.85	560.65	562.75	2980100	494.7565	-0.0156552039174
2011-05-20	564.7	583.7	563.0	579.55	3184100	509.5267	0.0298534733753
2011-05-23	574.55	574.55	557.55	559.4	2338700	491.8113	-0.0347683448188
2011-05-24	557.25	568.9	553.55	566.5	4884200	498.0535	0.0126922663225
2011-05-25	567.7	570.25	558.25	561.2	4416200	493.3938	-0.00935582221589
2011-05-26	575.0	579.9	566.0	574.15	6208400	504.7792	0.0230756851829
2011-05-27	578.0	588.4	565.7	585.2	4853800	514.4941	0.0192458405576
2011-05-30	586.9	586.9	577.1	579.3	2396200	509.3069	-0.0100821369963
2011-05-31	585.45	590.0	579.3	589.0	2664900	517.8349	0.0167443244928
2011-06-01	592.0	597.45	580.1	582.3	4662500	511.9444	-0.0113752472072
2011-06-02	577.0	577.0	571.5	574.9	2134200	505.4386	-0.0127080206366
2011-06-03	577.3	583.3	571.0	573.25	2429900	503.9879	-0.00287018047296
2011-06-06	573.0	573.0	564.3	567.9	2756300	499.2843	-0.00933276374294
2011-06-07	567.0	580.0	566.0	577.95	2098500	508.12	0.0176967311009
2011-06-08	575.1	581.3	574.5	577.7	2500800	507.9002	-0.000432574982288
2011-06-09	577.0	581.7	574.4	577.05	2345600	507.3288	-0.00112502416813
2011-06-10	577.5	578.8	566.2	569.45	3511600	500.647	-0.0131705513269
2011-06-13	568.0	568.0	560.55	562.95	4827100	494.9324	-0.0114144297279
2011-06-14	566.0	566.95	558.45	561.0	3238700	493.218	-0.00346390739422
2011-06-15	562.0	566.35	560.25	561.4	2875900	493.5697	0.000713072110101
2011-06-16	558.7	562.1	551.4	553.25	4047700	486.4044	-0.0145173012039
2011-06-17	564.0	575.3	563.0	573.05	4274000	503.812	0.0357883275727
2011-06-20	574.6	574.95	548.5	561.15	3432300	493.3499	-0.0207658809238
2011-06-21	565.9	568.5	556.75	558.2	2687600	490.7563	-0.0052571207575
2011-06-22	561.25	565.0	556.25	558.1	2375100	490.6683	-0.000179315069414
2011-06-23	559.7	561.9	553.3	556.55	2046800	489.3056	-0.00277723260296
2011-06-24	560.9	580.25	559.25	578.95	3039900	508.9992	0.0402480576556
2011-06-27	576.4	593.45	574.8	589.35	4078900	518.1426	0.0179634859937
2011-06-28	590.95	592.5	583.0	587.25	2320800	516.2964	-0.00356311177657
2011-06-29	589.7	602.75	589.0	601.6	2835000	528.9125	0.0244357698407
2011-06-30	605.0	612.45	603.0	610.25	3701100	536.5174	0.0143783707135
2011-07-01	616.7	616.7	595.65	602.3	2487700	529.528	-0.0130273500915
2011-07-04	597.75	598.8	590.1	597.5	1873200	535.9867	0.0121970887281
