Date	Open_DJI	High_DJI	Low_DJI	Close_DJI	Volume_DJI	AdjClose_DJI	Return_DJI
2014-01-17	16408.019531	16495.259766	16378.799805	16458.560547	184970000	16458.560547	0.00253095914495
2014-01-21	16459.269531	16520.599609	16316.25	16414.439453	111570000	16414.439453	-0.00268073832301
2014-01-22	16420.480469	16453.490234	16332.980469	16373.339844	87470000	16373.339844	-0.00250386917675
2014-01-23	16371.990234	16372.959961	16140.580078	16197.349609	100540000	16197.349609	-0.0107485849971
2014-01-24	16203.290039	16203.290039	15879.110352	15879.110352	141450000	15879.110352	-0.0196476130158
2014-01-27	15879.049805	15942.769531	15783.549805	15837.879883	127540000	15837.879883	-0.0025965226065
2014-01-28	15840.839844	15945.889648	15840.839844	15928.55957	89110000	15928.55957	0.00572549404781
2014-01-29	15927.080078	15927.080078	15708.980469	15738.790039	109590000	15738.790039	-0.0119137910849
2014-01-30	15743.030273	15907.530273	15733.269531	15848.610352	92100000	15848.610352	0.00697768460777
2014-01-31	15847.19043	15847.19043	15617.549805	15698.849609	137090000	15698.849609	-0.0094494557992
2014-02-03	15697.69043	15708.540039	15356.169922	15372.799805	151050000	15372.799805	-0.0207690252548
2014-02-04	15372.929688	15481.849609	15356.620117	15445.240234	124110000	15445.240234	0.00471224695039
2014-02-05	15443.0	15478.209961	15340.69043	15440.230469	105130000	15440.230469	-0.000324356560604
2014-02-06	15443.830078	15632.089844	15443.0	15628.530273	106980000	15628.530273	0.0121954011229
2014-02-07	15630.639648	15798.509766	15625.530273	15794.080078	105780000	15794.080078	0.0105927942109
2014-02-10	15793.629883	15801.790039	15733.69043	15801.790039	84110000	15801.790039	0.000488155116469
2014-02-11	15804.169922	16027.19043	15803.400391	15994.769531	95930000	15994.769531	0.0122125082996
2014-02-12	15993.040039	16036.55957	15928.75	15963.94043	77310000	15963.94043	-0.00192744890386
2014-02-13	15946.990234	16039.370117	15863.25	16027.589844	99470000	16027.589844	0.00398707413618
2014-02-14	16018.080078	16175.549805	15985.389648	16154.389648	84060000	16154.389648	0.00791134570039
2014-02-18	16153.969727	16167.330078	16107.040039	16130.400391	91250000	16130.400391	-0.00148499928024
2014-02-19	16126.230469	16225.719727	16031.660156	16040.55957	80560000	16040.55957	-0.00556965845994
2014-02-20	16044.150391	16161.639648	16006.589844	16133.230469	77720000	16133.230469	0.00577728592295
2014-02-21	16135.919922	16191.919922	16093.799805	16103.299805	126580000	16103.299805	-0.00185521827495
2014-02-24	16102.269531	16300.040039	16102.269531	16207.139648	244580000	16207.139648	0.0064483580544
2014-02-25	16207.339844	16254.259766	16147.25	16179.660156	99470000	16179.660156	-0.00169551769139
2014-02-26	16180.360352	16252.349609	16155.860352	16198.410156	93980000	16198.410156	0.00115886241239
2014-02-27	16197.700195	16276.280273	16159.80957	16272.650391	97640000	16272.650391	0.00458318034208
2014-02-28	16273.230469	16398.949219	16226.089844	16321.709961	122110000	16321.709961	0.00301484815449
2014-03-03	16321.709961	16321.709961	16071.25	16168.030273	92760000	16168.030273	-0.0094156610041
2014-03-04	16169.320312	16419.490234	16169.320312	16395.880859	96120000	16395.880859	0.0140926620097
2014-03-05	16395.880859	16406.550781	16343.959961	16360.179688	73980000	16360.179688	-0.002177447574
2014-03-06	16360.55957	16450.169922	16360.55957	16421.890625	75900000	16421.890625	0.0037720207343
2014-03-07	16424.529297	16505.699219	16398.859375	16452.720703	80690000	16452.720703	0.00187737689308
2014-03-10	16453.099609	16453.099609	16334.200195	16418.679688	68210000	16418.679688	-0.00206902041398
2014-03-11	16419.390625	16460.330078	16325.169922	16351.25	78150000	16351.25	-0.00410688857334
2014-03-12	16350.669922	16364.740234	16260.030273	16340.080078	77900000	16340.080078	-0.00068312343093
2014-03-13	16341.549805	16405.070312	16084.099609	16108.889648	86160000	16108.889648	-0.0141486717872
2014-03-14	16106.320312	16165.049805	16046.990234	16065.669922	85660000	16065.669922	-0.00268297362167
2014-03-17	16066.370117	16270.339844	16066.370117	16247.219727	88930000	16247.219727	0.011300481454
2014-03-18	16245.929688	16369.94043	16245.929688	16336.19043	79140000	16336.19043	0.00547605710361
2014-03-19	16335.709961	16363.320312	16126.290039	16222.169922	90110000	16222.169922	-0.00697962652239
2014-03-20	16221.980469	16353.980469	16160.330078	16331.049805	91530000	16331.049805	0.00671179524833
2014-03-21	16332.69043	16456.449219	16290.790039	16302.769531	353670000	16302.769531	-0.00173168745045
2014-03-24	16303.280273	16380.509766	16215.55957	16276.69043	110620000	16276.69043	-0.00159967304637
2014-03-25	16279.200195	16407.179688	16279.200195	16367.879883	89110000	16367.879883	0.00560245667829
2014-03-26	16370.709961	16466.039062	16268.990234	16268.990234	92770000	16268.990234	-0.00604168955948
2014-03-27	16268.669922	16300.94043	16191.790039	16264.230469	93650000	16264.230469	-0.00029256671321
2014-03-28	16267.769531	16414.859375	16267.769531	16323.05957	86370000	16323.05957	0.00361708481149
2014-03-31	16324.219727	16480.849609	16324.219727	16457.660156	104510000	16457.660156	0.00824603901142
2014-04-01	16458.050781	16565.730469	16457.599609	16532.609375	88010000	16532.609375	0.00455406286736
2014-04-02	16532.800781	16588.189453	16506.599609	16573.0	78120000	16573.0	0.00244308832828
2014-04-03	16572.359375	16604.150391	16527.599609	16572.550781	77220000	16572.550781	-2.71054727567e-05
2014-04-04	16576.019531	16631.630859	16392.769531	16412.710938	104350000	16412.710938	-0.00964485462209
2014-04-07	16414.150391	16421.380859	16244.009766	16245.870117	116540000	16245.870117	-0.0101653420712
2014-04-08	16245.160156	16296.860352	16180.280273	16256.139648	98510000	16256.139648	0.000632131792637
2014-04-09	16256.370117	16438.820312	16256.370117	16437.179688	91550000	16437.179688	0.0111367178137
2014-04-10	16437.240234	16456.119141	16153.339844	16170.219727	112550000	16170.219727	-0.0162412266622
2014-04-11	16168.870117	16168.870117	16015.320312	16026.75	119550000	16026.75	-0.00887246613974
2014-04-14	16028.290039	16184.759766	16028.290039	16173.240234	90020000	16173.240234	0.00914035808882
2014-04-15	16173.490234	16272.950195	16063.200195	16262.55957	97850000	16262.55957	0.00552266179861
2014-04-16	16266.230469	16424.849609	16266.230469	16424.849609	94650000	16424.849609	0.00997936630464
2014-04-17	16424.140625	16460.490234	16368.139648	16408.539062	136190000	16408.539062	-0.000993040873328
2014-04-21	16408.919922	16459.779297	16402.080078	16449.25	79500000	16449.25	0.00248108243191
2014-04-22	16449.380859	16565.710938	16449.380859	16514.369141	84830000	16514.369141	0.00395879088712
2014-04-23	16513.730469	16525.990234	16477.279297	16501.650391	76830000	16501.650391	-0.000770162631791
2014-04-24	16503.390625	16541.259766	16452.300781	16501.650391	80340000	16501.650391	0.0
2014-04-25	16503.259766	16503.259766	16333.780273	16361.459961	90630000	16361.459961	-0.00849553994166
2014-04-28	16363.200195	16500.369141	16312.660156	16448.740234	105510000	16448.740234	0.00533450396285
2014-04-29	16451.179688	16559.390625	16451.179688	16535.369141	71240000	16535.369141	0.00526659827851
2014-04-30	16534.859375	16592.279297	16510.869141	16580.839844	92970000	16580.839844	0.00274990552749
2014-05-01	16580.259766	16604.789062	16525.25	16558.869141	75630000	16558.869141	-0.00132506575099
2014-05-02	16562.339844	16620.060547	16488.310547	16512.890625	78910000	16512.890625	-0.00277667004966
2014-05-05	16509.75	16547.919922	16377.089844	16530.550781	70320000	16530.550781	0.00106947695598
2014-05-06	16529.849609	16529.849609	16399.990234	16401.019531	74340000	16401.019531	-0.00783587018461
2014-05-07	16401.660156	16522.939453	16357.349609	16518.539062	93870000	16518.539062	0.00716537961423
