Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225
2014-11-05	16785.439453	16995.019531	16778.279297	16937.320312	232200	16937.320312	0.00443882811234
2014-11-06	16993.460938	17045.939453	16725.449219	16792.480469	199000	16792.480469	-0.00855152056712
2014-11-07	16934.039062	16938.199219	16824.080078	16880.380859	153300	16880.380859	0.00523450899123
2014-11-10	16758.269531	16818.050781	16713.369141	16780.529297	125600	16780.529297	-0.00591524343165
2014-11-11	16869.490234	17160.119141	16855.300781	17124.109375	154000	17124.109375	0.0204749249513
2014-11-12	17253.119141	17443.740234	17170.0	17197.050781	193300	17197.050781	0.00425957370411
2014-11-13	17192.0	17400.769531	17099.949219	17392.789062	159800	17392.789062	0.0113820842593
2014-11-14	17520.539062	17520.539062	17300.189453	17490.830078	196000	17490.830078	0.00563687719379
2014-11-17	17381.380859	17409.320312	16907.429688	16973.800781	192800	16973.800781	-0.0295600205762
2014-11-18	17188.839844	17356.759766	17186.5	17344.060547	158100	17344.060547	0.0218136038461
2014-11-19	17384.310547	17472.570312	17280.759766	17288.75	170100	17288.75	-0.00318901948307
2014-11-20	17407.689453	17407.689453	17270.699219	17300.859375	144000	17300.859375	0.000700419347842
2014-11-21	17285.720703	17381.589844	17108.199219	17357.509766	156300	17357.509766	0.00327442641849
2014-11-24	17357.509766	17357.509766	17357.509766	17357.509766	0	17357.509766	0.0
2014-11-25	17490.390625	17490.390625	17372.710938	17407.619141	170600	17407.619141	0.00288689885102
2014-11-26	17347.970703	17432.570312	17335.990234	17383.580078	136500	17383.580078	-0.00138095065185
2014-11-27	17310.490234	17346.849609	17212.480469	17248.5	129100	17248.5	-0.00777055574248
2014-11-28	17340.160156	17471.900391	17330.839844	17459.849609	149100	17459.849609	0.0122532167435
2014-12-01	17475.099609	17649.019531	17474.269531	17590.099609	125900	17590.099609	0.00745997261814
2014-12-02	17481.060547	17687.699219	17476.419922	17663.220703	125200	17663.220703	0.00415694598811
2014-12-03	17772.150391	17881.759766	17696.359375	17720.429688	158700	17720.429688	0.00323887619149
2014-12-04	17881.910156	17912.589844	17813.009766	17887.210938	142200	17887.210938	0.00941180619976
2014-12-05	17821.849609	17922.289062	17759.359375	17920.449219	128900	17920.449219	0.00185821485055
2014-12-08	18004.660156	18030.830078	17869.740234	17935.640625	134700	17935.640625	0.00084771345932
2014-12-09	17820.240234	17892.160156	17773.300781	17813.380859	140400	17813.380859	-0.00681658205337
2014-12-10	17623.349609	17658.140625	17308.820312	17412.580078	169600	17412.580078	-0.022499983814
2014-12-11	17180.490234	17289.730469	17043.630859	17257.400391	151400	17257.400391	-0.00891192955351
2014-12-12	17317.689453	17526.189453	17298.189453	17371.580078	214500	17371.580078	0.00661627385429
2014-12-15	17111.490234	17258.320312	17037.210938	17099.400391	146400	17099.400391	-0.01566810191
2014-12-16	16862.419922	16895.390625	16714.830078	16755.320312	160300	16755.320312	-0.020122347634
2014-12-17	16689.339844	16891.019531	16672.939453	16819.730469	161300	16819.730469	0.00384416148427
2014-12-18	17142.949219	17274.230469	17136.410156	17210.050781	186300	17210.050781	0.023206097905
2014-12-19	17511.009766	17621.400391	17471.599609	17621.400391	175800	17621.400391	0.0239017080911
2014-12-22	17685.529297	17692.580078	17572.619141	17635.140625	128500	17635.140625	0.000779746994854
2014-12-24	17842.039062	17875.410156	17800.419922	17854.230469	126400	17854.230469	0.0124234815394
2014-12-25	17804.839844	17832.470703	17773.589844	17808.75	86400	17808.75	-0.00254732171622
2014-12-26	17778.910156	17843.730469	17769.009766	17818.960938	86500	17818.960938	0.000573366350811
2014-12-29	17914.550781	17914.550781	17525.660156	17729.839844	115200	17729.839844	-0.00500147535595
2014-12-30	17702.119141	17713.759766	17450.769531	17450.769531	98300	17450.769531	-0.0157401485549
2014-12-31	17702.119141	17713.759766	17450.769531	17450.769531	0	17450.769531	0.0
2015-01-02	17702.119141	17713.759766	17450.769531	17450.769531	0	17450.769531	0.0
2015-01-05	17325.679688	17540.919922	17219.220703	17408.710938	116500	17408.710938	-0.00241012827115
2015-01-06	17101.580078	17111.359375	16881.730469	16883.189453	166000	16883.189453	-0.0301872715833
2015-01-07	16808.259766	16974.609375	16808.259766	16885.330078	138600	16885.330078	0.000126790320393
2015-01-08	17067.400391	17243.710938	17016.089844	17167.099609	140600	17167.099609	0.0166872385496
2015-01-09	17318.740234	17342.650391	17129.529297	17197.730469	155200	17197.730469	0.00178427694239
